canton,winter1_Polarity,spring1_Polarity,summer1_Polarity,fall1_Polarity,winter2_Polarity,spring2_Polarity,summer2_Polarity,fall2_Polarity,winter3_Polarity,spring3_Polarity,summer3_Polarity,fall3_Polarity,winter4_Polarity,spring4_Polarity,summer4_Polarity,fall4_Polarity,winter5_Polarity,spring5_Polarity,summer5_Polarity,fall5_Polarity
BE,0.027168234064785787,0.06536532951289398,0.06975806451612904,0.0670621887911855,0.047103363268181014,0.055517941773865945,0.0862144420131291,0.09225822409102152,0.07239211808743555,0.07667858561779897,0.08829249319330999,0.12201166180758018,0.1503277389613196,0.06413301662707839,0.12048807645912592,0.1096148666846216,0.11451301832208294,0.11755054514660739,0.11908470752538003,0.13226793607616458
BL,-0.022727272727272728,-0.044386422976501305,-0.023652365236523653,0.06855277475516866,0.07721423164269493,0.06290875116786047,0.11195734958111196,0.0966433050534858,0.08404776484996938,0.0990388633514417,0.12589832313015703,0.11655239960822723,0.09335624284077892,0.09656453110492108,0.12097407698350353,0.11117413499716393,0.13896457765667575,0.12003179650238474,0.1045601105481345,0.15064935064935064
BS,0.026515151515151516,0.09086268504338949,0.07620416966211359,0.06718130607135406,0.06302113631956564,0.05424174174174174,0.0693175711982805,0.0692202462380301,0.0831587767071638,0.08312807881773399,0.10483870967741936,0.08651564185544768,0.1029520295202952,0.09538702111024237,0.13740458015267176,0.12189500640204866,0.11973959544292025,0.11461286804798256,0.12681214710819472,0.08902077151335312
FR,0.07758620689655173,0.312288993923025,0.4176680740500162,0.34192213654316345,0.28170451645828015,0.24656663275686674,0.05930087390761548,0.07933064766036567,0.09231113097898971,0.07824823578248236,0.07206551410373066,0.10124548011249498,0.05303030303030303,0.0891025641025641,0.12028150991682661,0.11041796631316282,0.11479741632413389,0.10069195895967549,0.08937728937728938,0.11591355599214145
GE,0.03007866728366497,0.14685902374115833,0.1846005694188578,0.14430057312672467,0.11025903203817314,0.09852282011084369,0.09645197378935592,0.0892446154374635,0.0982625200759235,0.1117735413056037,0.13746969979489093,0.15600014603336862,0.16743064885797834,0.1891320435564013,0.169926844783715,0.14713733614885055,0.13752674884716237,0.13183084088090055,0.10700978108989287,0.11885149446928689
GL,0.0,0.029197080291970802,0.017482517482517484,0.01048951048951049,0.04021937842778794,0.04525862068965517,0.018518518518518517,0.02030456852791878,0.08748481166464156,0.10514018691588785,0.06987951807228916,0.45007602635580335,0.513142174432497,0.027777777777777776,0.021912350597609563,0.030120481927710843,0.075,0.1417910447761194,0.09821428571428571,0.0
GR,0.10367170626349892,0.214,0.17350848385331144,0.12899786780383796,0.1137012369172217,0.06826889585510275,0.06349206349206349,0.11183597390493942,0.09471119014687479,0.09775708844688955,0.097953216374269,0.11094564408041697,0.1197055629298902,0.1465648854961832,0.16787752983912818,0.12452591656131479,0.13145315487571702,0.1287988422575977,0.10827168796234028,0.10830324909747292
JU,0.0,0.0410958904109589,0.12099783932429778,0.06880570409982174,0.05081734186211798,0.06442831215970962,0.09473684210526316,0.08070175438596491,0.07153965785381027,0.09259259259259259,-0.007104795737122558,0.07434944237918216,0.062095730918499355,0.07589285714285714,0.05373134328358209,0.07744107744107744,0.1125,0.09302325581395349,0.07238095238095238,0.08888888888888889
LU,0.07650273224043716,0.060061919504643964,0.07119163051798928,0.0746464117338921,0.058876003568242644,0.055537512179278985,0.07789770061004224,0.06387327542156362,0.07607029130793726,0.10427989130434782,0.0806473184432259,0.10720973782771535,0.14459857082807903,0.07079374808458473,0.12937898089171976,0.0979381443298969,0.12421859245815689,0.08823529411764706,0.10632746249184605,0.0670391061452514
NE,0.13013698630136986,0.5481967213114755,0.45208214489446663,0.4432664756446991,0.3295492487479132,0.23726637180767585,0.06157894736842105,0.07873594001071238,0.04693324296848526,0.06015037593984962,0.03517847904811174,0.10599078341013825,0.09722814498933902,0.1232876712328767,0.09949564419990829,0.088379705400982,0.11595092024539877,0.09148598625066102,0.09846610588817417,0.1067193675889328
NW,0.1111111111111111,0.10179640718562874,0.04198473282442748,0.12293853073463268,0.11678832116788321,0.11655239960822723,0.10454545454545454,0.07929515418502203,0.09849246231155778,0.10391822827938671,0.15665488810365136,0.10395010395010396,0.10764872521246459,0.13580246913580246,0.13793103448275862,0.11574074074074074,0.11888111888111888,0.13432835820895522,0.15630550621669628,-0.015625
OW,0.1,0.04825737265415549,0.09620991253644315,0.12039312039312039,0.06528497409326425,0.07676902536715621,0.06868131868131869,0.09057971014492754,0.037487335359675786,0.11754324038122133,0.10825013137151865,0.06136950904392765,0.0914740243599304,0.07979990471653169,0.11974029217130729,0.1195179109474389,0.09182703730102162,0.13659320477502296,0.11922826793843486,0.13500784929356358
SG,0.03468208092485549,0.07809523809523809,0.07609696225836146,0.06253326237360297,0.05532870559412005,0.08458333333333333,0.07105263157894737,0.0754850922858495,0.08513853904282116,0.0826538176426983,0.08839779005524862,0.07719856744926383,0.09178187403993855,0.11182244985061887,0.10977789124329844,0.08729139922978177,0.1065812463599301,0.1189710610932476,0.11776447105788423,0.13957597173144876
SH,0.1,0.046875,0.07865168539325842,0.06,0.02894736842105263,0.06181818181818182,0.07874015748031496,0.05099150141643059,0.09669992325402917,0.08239095315024232,0.0944206008583691,0.09259259259259259,0.027210884353741496,0.03728813559322034,0.07846153846153846,0.11363636363636363,0.14845360824742268,0.15912636505460218,0.103125,0.09821428571428571
SO,0.12307692307692308,0.07372654155495978,0.0724220623501199,0.07241379310344828,0.06798069187449718,0.06967213114754098,0.058419243986254296,0.08360548661005879,0.09277708592777086,0.14527629233511585,0.11854103343465046,0.1500984251968504,0.11145898559799625,0.04481792717086835,0.10578158458244111,0.10643185298621746,0.09572612298299171,0.11890756302521008,0.1506076388888889,0.1111111111111111
SZ,0.20930232558139536,0.07163323782234957,0.08220603537981269,0.1602409638554217,0.15904572564612326,-0.011103853690398433,0.05925925925925926,0.11883691529709228,0.09671179883945841,0.07574094401756312,0.1405579399141631,0.10721247563352826,0.06554878048780488,0.07456140350877193,0.08487084870848709,0.1396103896103896,0.10572139303482588,0.11857707509881422,0.14315937940761636,0.044444444444444446
