canton,winter1_Polarity,spring1_Polarity,summer1_Polarity,fall1_Polarity,winter2_Polarity,spring2_Polarity,summer2_Polarity,fall2_Polarity,winter3_Polarity,spring3_Polarity,summer3_Polarity,fall3_Polarity,winter4_Polarity,spring4_Polarity,summer4_Polarity,fall4_Polarity,winter5_Polarity,spring5_Polarity,summer5_Polarity,fall5_Polarity
AR,0.06554677206851121,0.14285423037716619,0.16889606087316078,0.11083056082995364,0.09539574121926771,0.060586165138982045,0.10772558288427439,0.34741948433153347,-0.012621847465184667,0.04221464031173852,0.0715758394688932,0.05538815575105897,0.10415037098121659,0.1121749572444017,0.08998785872522089,0.11971574745600723,0.12705320550351282,0.13771437334737666,0.1037259390754143,0.07504619364375463
BE,0.07868678634335763,0.09836407156048983,0.10346062671647213,0.09446546283057966,0.08743126082182129,0.09478129109715154,0.0762375399121318,0.08173487079779052,0.09890863991181392,0.09707783721303129,0.09824182312529778,0.11213363207935483,0.09290697173502957,0.11257190972137138,0.10586698824318973,0.09401693038376736,0.10749341751975106,0.12261676209594706,0.1195484295732596,0.12024699170728757
BL,0.03275890089008901,0.12358097722070874,0.0930047281210675,0.0982533312317973,0.0859371427144202,0.09405992596523308,0.08655878125579732,0.10649357844058391,0.15169461397093179,0.09086292557619666,0.11349700257311512,0.09376959471966204,0.10763786567879467,0.10038639013034181,0.08589596300972079,0.09257504925893585,0.08912258633866052,0.08816593381416858,0.08276299393542741,0.10830092759307879
BS,0.10197826646090542,0.07366772786624136,0.038744210118390895,0.04370136648939339,0.05303515051185282,0.05491571301325236,0.06713144642709298,0.09970723828541606,0.10487167912485533,0.11441956648669864,0.08884239185610827,0.08787994764806646,0.08870403970606952,0.09710084145315738,0.0883250260113895,0.09714400343645163,0.08947925345657094,0.1072942011074546,0.11154149988149253,0.09709963596639413
FR,0.09619153534917144,0.0984619606916066,0.10516555180040248,0.08666740084202304,0.08262263986656429,0.06987671965511759,0.07239755789343669,0.07535928909456505,0.09234465079939612,0.07173576002169438,0.07621694106204106,0.08185293980721774,0.07703088969446661,0.07501874585429807,0.09308361075674268,0.10135610230024811,0.12459982192050355,0.10659533559266825,0.09817844670217461,0.09489381833163749
GE,0.07918681049204873,0.09473401681300465,0.09171980564172569,0.07503343581742059,0.055574889289864295,0.048906819834798824,0.049715474378864456,0.045643031566885324,0.0521411851278459,0.053069012164408534,0.04835438628311778,0.05812386551786773,0.06143318597708449,0.07506958590149992,0.07631478609473724,0.07570786378875209,0.08270081022490795,0.08147827732425073,0.08371426068743364,0.08452962032316425
GL,-0.00456228956228956,0.026359318996415772,0.037251058212055974,0.03185346055796057,0.053785458495157944,0.06491637181680177,0.05678854089677259,0.07502299434346416,0.2422879198983437,0.09170395476645476,0.08291533005508855,0.05059492738407738,0.08099255917059506,0.01869613379667481,0.021856274655523773,0.029007864716819935,0.12445286347630098,0.06605146042170756,0.09174662269294324,0.04795630725863284
GR,0.08812678851642247,0.05376734767758462,0.10270272847574581,0.0791952723155377,0.09595764621910374,0.1044316891574654,0.09366983263065562,0.10767306238305406,0.18679410243050615,0.1066401954865293,0.09206330472316451,0.11641178696359697,0.1222989305522337,0.10436461077759411,0.09595058970958913,0.07448140182355134,0.11323327385870978,0.11231682503623039,0.1243728169915781,0.07319663672452485
JU,-0.025353535353535354,0.1745412764319025,0.2211995554621407,0.14737982674425482,0.15267607940580472,0.1309906475310728,0.07530185809342643,0.05159398861612457,0.18313441431520333,0.07452867016738228,0.0708652002823476,0.08808915574257262,0.08882889750841277,0.08776061889086449,0.09936407566032501,0.061255023136246776,0.07416308450166022,0.0854641442749918,0.07941825834117787,0.08042141578285447
LU,0.08897264032562903,0.09637600678972927,0.08136811099865415,0.08690486850355211,0.08756447777588268,0.09108207641862558,0.10810621046025316,0.08705799006237028,0.1354921696848931,0.08855715936243674,0.09933703657505386,0.12065662910318582,0.16184001170871223,0.11578431851548202,0.10847392274936338,0.09305634714495391,0.09045456747372638,0.08043294209677784,0.10040232330292605,0.039254865088692484
NE,0.16032487744391458,0.14136161227648386,0.12699335286587932,0.06969041549783388,0.06832610441161942,0.07051624312744048,0.061633616275814124,0.054237510881597964,0.05876329133079014,0.05324669612300789,0.06643313938161848,0.06805837823331418,0.05702501219231744,0.06602827841673714,0.06441848497925656,0.06826135798193399,0.07076991438160596,0.07465624856395366,0.06523059683674354,0.06607423701908406
NW,0.019047619047619046,0.14963237418421904,0.1446911071438165,0.12580151031952083,0.14831889702385664,0.07423282256245833,0.06917860785088494,0.1440231247950755,0.23937611418301746,0.08963213242622868,0.10020017182614836,0.099513741167836,0.03957757933012292,0.14365788069503965,0.09677028162979306,0.1013449124574128,0.11584315115757682,0.10216683043387591,0.08921211205403148,0.15705138706858887
OW,0.07799583333333333,0.1116828060672908,0.08939850843037679,0.07883517473998981,0.09689398811710845,0.10554330465432532,0.0884799643445123,0.08315516918405864,0.09114773720474256,0.10327856562693859,0.08565375849675456,0.32983661420044497,0.09847624603652395,0.1508881137147461,0.11190148736144236,0.1182662571771184,0.14687559772942088,0.1279357357892394,0.11998065054464185,0.12976235030557098
SG,0.0885841286628906,0.07608843601847337,0.09348299918035348,0.08909226421155894,0.09706944752107219,0.10295890524667883,0.09100960120611401,0.10122114356081588,0.17265274573472023,0.13028713524569327,0.14304738216374097,0.12041588099044992,0.1268918456320532,0.12353803720891275,0.1051698926205601,0.09562141234358737,0.10774066869727938,0.13436742922827546,0.1272356391097998,0.121860818735942
SH,0.10930555555555556,0.09555021760283809,0.08906010865099408,0.13636074695696224,0.11424588752472278,0.060829633075726856,0.07441646561237908,0.07761713338874994,0.23177909540551045,0.06270784088971888,0.09356244280394443,0.09476159186618377,0.08244153443478985,0.13614344551844554,0.09648174885378881,0.08407675268539262,0.09689798603770257,0.11343977151685289,0.09069776566389905,0.09217656475468976
SO,0.11134001161440184,0.08390545406313014,0.08467286934438666,0.09571563212684596,0.08442021180175174,0.11178650075443579,0.1273489396940272,0.08622758342148969,0.1623336185210189,0.09799461693542903,0.10930540516952991,0.12989701163232678,0.0945536225891343,0.10691650628157814,0.10791536718791442,0.11483351066621364,0.0781719827018991,0.09826807408437589,0.10750600229107285,0.07980144991905748
