canton,fridays_Anger,fridays_Anticipation,fridays_Disgust,fridays_Fear,fridays_Joy,fridays_Sadness,fridays_Surprise,fridays_Trust,mondays_Anger,mondays_Anticipation,mondays_Disgust,mondays_Fear,mondays_Joy,mondays_Sadness,mondays_Surprise,mondays_Trust,saturdays_Anger,saturdays_Anticipation,saturdays_Disgust,saturdays_Fear,saturdays_Joy,saturdays_Sadness,saturdays_Surprise,saturdays_Trust,sundays_Anger,sundays_Anticipation,sundays_Disgust,sundays_Fear,sundays_Joy,sundays_Sadness,sundays_Surprise,sundays_Trust,thursdays_Anger,thursdays_Anticipation,thursdays_Disgust,thursdays_Fear,thursdays_Joy,thursdays_Sadness,thursdays_Surprise,thursdays_Trust,tusedays_Anger,tusedays_Anticipation,tusedays_Disgust,tusedays_Fear,tusedays_Joy,tusedays_Sadness,tusedays_Surprise,tusedays_Trust,wednsdays_Anger,wednsdays_Anticipation,wednsdays_Disgust,wednsdays_Fear,wednsdays_Joy,wednsdays_Sadness,wednsdays_Surprise,wednsdays_Trust
JU,99.0125331368,273.90707136,82.5721707214,167.265431219,281.972771346,194.088823513,111.837120478,225.699742823,125.087549069,281.943225991,110.596169616,161.307131796,257.042110603,201.624684157,137.208836889,265.162476391,96.1101040471,240.008522338,70.443405571,135.21610591,276.075686813,182.468462807,149.801853254,251.703216941,144.500245485,341.497753674,121.649960128,183.623958657,341.536927001,221.893952143,199.414921392,328.649103713,132.395353052,376.4961637,101.396856738,171.179611891,393.09235101,197.483920959,158.731163994,318.572090899,111.238539501,238.761875255,92.6797005454,142.504257932,234.409029709,198.998253192,125.978191395,246.404135098,107.499692215,236.100177884,80.3576521689,141.028517801,185.102776837,181.6360028,118.500324246,215.77804154
LU,531.617221457,1347.2925564,366.395437792,555.031018306,1324.82829305,655.695932793,723.844917213,1260.530578,431.72862552,1300.08702962,288.115602247,503.061125025,1254.30056532,580.705554086,633.612378613,1188.76356231,475.462852627,1646.07367955,292.870730044,835.267151106,1456.16920393,625.476495378,748.377607828,1236.98590838,537.124177687,1652.32970957,373.582155018,694.423619415,1631.01228687,704.582269698,825.562325991,1456.79247379,535.617440115,1522.04966379,391.786491183,508.59404566,1535.85299772,601.620252052,695.1715723,1361.66346042,469.038834524,1213.41476836,312.853838237,526.44316784,1243.7065368,591.347680016,632.180725174,1152.47438281,471.449019135,1340.40881428,319.202973471,499.720619757,1376.54903383,596.036464348,707.196621533,1283.68014486
NE,989.703627229,1938.37515005,765.74108026,1242.15370343,1805.25287732,1466.92675914,1017.37997391,1916.18164262,1136.37482982,2425.46834725,850.929162719,1425.44229237,2124.42962717,1713.07889338,1166.56828376,2374.01634098,964.901188433,1952.21094962,723.700723652,1234.8803288,1746.46069097,1630.66745724,1045.232512,1935.67331493,1341.68216014,2604.13169983,958.831900238,1594.07399039,2211.47393314,1931.5805689,1340.26839648,2535.23353509,1071.45188507,2254.72167263,789.027424702,1305.3059907,1993.20620308,1605.73849619,1126.97372252,2142.26096141,1178.51426483,2260.86170641,898.273633593,1463.58887494,1816.5572031,1748.15109937,1124.48699464,2235.04792187,1189.70765647,2236.33099491,901.127652344,1435.19580016,1895.82336106,1718.03503411,1146.58308352,2237.58736368
NW,66.7483219996,156.579882617,48.0357295482,78.3683136308,183.63551726,80.5273643024,90.4340478965,148.632930958,77.2706349206,205.692255375,59.1315379065,93.0423742924,204.538812984,97.9256743257,119.52970363,197.130275688,58.9322483072,176.204513542,43.1542318792,74.3643051393,172.53186854,85.8339049839,98.2237304362,164.618597089,132.502274523,332.23204157,104.681887965,154.201064214,315.807248307,163.020264458,186.656522644,294.749163173,82.378373424,345.269563769,63.7493108199,101.534720835,324.981304806,104.231555373,137.02982018,243.124231324,70.3146908647,163.270901321,56.0127899878,81.5766761017,169.93004773,92.5267371517,93.7451923077,157.575444,63.8491688867,186.637148962,41.7787198912,76.6618561993,166.993126318,81.9776723277,99.2414113664,163.926554002
OW,284.047021176,833.099969861,194.483785801,360.386043162,795.55358673,395.369947227,413.039101623,851.144641345,291.364376104,1014.84810553,201.871980123,406.352290232,1080.73489992,381.722540652,491.399966494,1035.04965804,288.571923909,857.328210107,213.331927794,360.446403025,883.711509732,387.950997613,431.377879065,910.818413367,325.541653018,874.758319581,224.752595036,414.502676496,825.302915712,418.603534945,435.802156156,874.569935587,303.455336738,938.893105544,206.982911838,361.923631352,965.208265079,387.059054508,480.555175277,964.349285823,315.597530961,1042.9449032,208.759815593,431.494996382,1072.94635787,423.49781664,593.58907414,987.428660534,316.580678674,1024.37934008,220.373391211,472.161348516,1029.2960526,440.082881515,477.458880047,1113.63714149
SG,369.540246252,1234.36379974,261.250916159,443.418694949,1194.51281951,559.92039121,675.749264031,1196.32443747,386.322929582,1166.16522746,267.528631907,414.139921963,1125.59854651,469.008635134,618.911368044,1159.4028245,414.89101607,1281.86046272,282.720584236,495.983619403,1287.26686908,579.837231478,683.604483262,1262.21815178,515.325126099,1593.61018908,374.130732992,553.106007963,1597.00791333,618.779912571,846.902404948,1525.87900417,443.27214591,1474.5928116,302.077021998,505.359552376,1455.20505214,550.74853284,725.408171812,1287.89771568,429.718485518,1077.67837881,286.561044348,471.838237661,1056.70031953,545.144625636,584.212364433,1076.09092443,382.936175241,1063.72191707,272.098990715,439.949449467,1026.59023693,536.098733516,574.536573394,1051.56574465
SH,49.8463106338,182.948937582,38.939041514,58.3478479853,166.031989253,82.3121572871,87.8917721168,197.511831632,60.7504156791,208.916970529,45.5195780527,77.2591208628,194.238257576,88.1229011185,116.054428904,207.156614219,48.8310869686,190.307005494,39.0979229104,74.0513625264,176.758302808,102.283862788,89.9301601177,184.888384246,115.420758305,354.355853297,99.8327199546,125.868939699,332.9084285,136.977574691,208.761040245,320.175767125,96.0238834695,360.222006996,70.5672521922,114.242312263,347.905936139,119.094643265,144.31466589,258.169645061,59.8694000444,197.075926851,46.4903124653,83.1660658786,187.161582862,90.9638084138,104.735708736,194.159915085,55.8423247504,161.146373479,39.946518759,63.1954840911,154.295922133,74.5979237266,82.2517329892,158.642826618
SO,223.00991231,671.015643507,152.759398934,254.833624709,756.13422868,296.53858729,375.732764458,680.515385023,219.661628894,616.66649127,156.846026196,257.496605029,601.807628319,281.916684133,344.064357293,626.945965799,216.417222891,561.182475939,125.795390149,282.560278447,555.168734289,239.475141362,282.772725722,510.244092917,283.305641989,865.816983262,169.611221132,382.399992491,770.533831691,297.945395373,437.471151479,755.814507959,273.692741469,788.830656169,192.567685093,317.076918914,762.239383144,329.790104645,386.28432205,702.281980558,248.483248081,620.785274813,169.897157886,272.009768783,595.793454176,289.246924317,363.346761937,634.651946909,230.434883009,603.362469209,173.473250769,271.544058045,571.631585223,290.442132704,327.658447353,608.140758502
SZ,76.9739619857,240.959102417,48.6539135701,90.0633947751,271.603766087,110.284986092,132.656632257,239.544444853,84.1305749806,269.27787074,53.6489343989,91.5181734932,286.621117771,111.411763237,148.17999778,269.650836663,81.7912133618,253.566278574,71.1033452658,108.407727811,304.522616681,117.422508456,130.7173636,234.799036911,96.9928668554,372.248514351,67.6950341325,114.493072206,377.249552202,132.539106215,193.622355422,341.883324862,90.4512862138,338.73995449,61.7177766678,111.158004495,325.958741259,115.534153347,140.829176379,284.475692363,81.0003121878,267.009043223,63.2349691975,97.4328157953,269.074695626,116.772009934,137.839217216,254.207965134,61.5985657317,239.744564178,35.4211237292,81.2936571598,234.195270416,86.0452660901,99.4540102871,216.557805103
TG,191.454232287,753.714747589,139.460070893,225.356943465,789.929528641,241.160333436,363.572514414,728.564335093,169.971054191,700.549819053,120.929451757,208.763332338,767.149245444,254.665881994,435.977674531,689.640339073,175.161090707,613.899458303,106.871990754,241.348013098,854.471480725,245.96645895,345.431387077,561.015281369,206.034799351,677.261173385,156.948611927,280.596843842,901.021843842,281.16315335,336.587037962,594.231312397,190.511801352,790.751863251,144.534848322,396.914342683,787.084475084,295.123232568,315.359536134,572.853666023,212.832822161,543.847086084,137.668803419,242.722048458,678.266490862,264.497077187,288.490900195,535.818683359,185.477239427,650.915489494,142.926243201,239.237880583,840.259343434,318.229389075,461.123371073,798.231415806
TI,867.181501973,2586.21437555,613.878799224,1044.83165517,2760.73838812,1223.9349664,1377.7627615,2645.48083886,814.874173539,2428.68790443,593.19560217,961.311420236,2614.79048741,1139.48737846,1284.05390806,2503.9496745,742.255056747,2430.16617802,519.710774232,919.348163232,2501.45917936,1087.76566928,1277.99975194,2408.75106309,863.549909731,2699.48374985,628.702916201,1053.38599187,2677.95956417,1204.13788752,1514.51621277,2779.89842518,838.546643598,2570.09387435,541.844571857,999.338658407,2876.9631985,1195.16902122,1429.12257918,2525.24755638,954.683610752,2517.35559171,579.551552124,1017.69237615,2843.52126641,1293.68636878,1383.20406911,2610.56712409,895.349575278,2632.95217511,629.940679479,1114.02909058,2618.65022986,1296.21503709,1369.74044652,2762.41917184
UR,26.4535464535,111.41471029,14.7496392496,23.2241203241,112.723659674,31.2658841159,70.0083749584,103.269111444,21.2253829504,70.5626415251,14.3818181818,23.2841741592,98.1594336219,30.6297730048,39.3927669553,73.476995227,22.8888999889,133.238954101,16.4076118326,57.4121656122,133.253280053,35.9206571207,54.8906926407,88.2634892885,37.5640544096,115.562209033,29.2749389499,38.0543512043,116.575873146,39.1061050061,62.3578245284,92.3451455407,33.7379329004,128.470578033,47.40249334,35.5095349095,155.928600566,36.8759018759,79.9024392274,96.2169455544,30.3945027195,103.055726218,22.2591131091,28.1972555223,146.261079199,37.0946220446,46.214470252,96.6518550893,22.8507076257,74.5491536241,18.0581973582,21.4074536575,69.821028971,28.6989080364,33.3743617494,62.585488123
VD,3129.42873773,7455.85412263,2247.58308683,3847.70459201,7414.00681837,4578.7087624,3935.5437475,7481.16145532,3470.04436062,7796.48865072,2498.57757205,4188.82625879,7877.24455133,4898.56767127,4087.0408685,7993.46616229,3113.92379475,7378.30245358,2238.97200485,3827.81152891,7301.17729582,4500.82987937,3982.12078108,7555.98813646,3708.36677629,8557.02534102,2695.74107394,4658.68170499,8057.43381381,5278.89107858,4475.32983365,8819.92014897,3347.57161177,7826.18709298,2325.2510122,3941.35159641,7186.9835879,4732.18836624,3916.6200558,7812.01678103,3484.88084116,7611.91749369,2492.84842701,4201.26534509,7500.20239652,4914.6327672,4000.41746832,7946.40697221,3415.81764772,7649.83078943,2420.74654709,4162.7044058,7217.83745332,4766.96134194,4005.76138514,7899.46983291
VS,1245.86440377,3011.8383288,859.397274843,1498.11236117,2734.44959987,2278.61371447,1579.07215468,2762.6030979,1327.83119917,3053.68889721,955.740729119,1553.60149668,2601.66637824,2366.77725965,1535.9902404,2875.35821607,1279.83993096,3180.08556892,881.215386145,1585.96637869,3345.98816863,2361.88695117,1679.53506137,2968.41569091,1544.13818995,3723.07688277,1109.5644965,1898.04403382,3367.66931648,2718.02885706,1891.42410092,3535.03904103,1318.39039171,3273.61288009,939.45911152,1610.91084537,2763.25832008,2259.35252939,1579.55484908,2944.51312605,1337.43108693,2990.7236971,954.22665443,1613.93243851,2701.71230272,2363.62788836,1583.67678349,2958.37286805,1362.00829813,3121.86056362,947.819071709,1688.98546877,2873.2868469,2401.43037525,1599.45007481,2963.08828664
ZG,159.608161691,553.557188481,102.852407315,167.598789527,515.835387896,221.312271775,281.020554282,561.615516101,184.520213936,584.178590527,109.061498224,189.438157512,524.11076375,233.966104973,303.107033081,605.879293539,139.321764184,509.625512396,88.5767462929,161.725646412,508.386845915,196.369577889,275.858519258,524.384521851,169.574930625,561.75546953,126.086535687,191.465499778,572.813213176,215.458678821,313.487869075,592.824502703,190.236862974,576.102689222,111.751044217,205.477482077,533.426558817,235.825818054,298.393853777,584.408398627,197.405782595,568.918463378,115.856716383,208.251481851,535.010047263,253.977311577,294.835218948,624.838134904,192.099551734,577.306267546,123.714867077,196.846725291,508.950305147,237.11376489,294.86872937,571.974417962
ZH,3222.11038505,9543.19322607,2137.42599646,3582.01271867,9696.26956352,4161.77552535,4960.58581045,9170.56892428,3095.81446099,8972.10438761,2102.45187972,3541.75779853,8461.01102192,3932.04794584,4637.26288207,8626.30952949,3021.21972814,8796.67744332,2039.31219266,3426.43458845,8936.35634967,3853.40698483,4620.94985102,8401.79621405,3099.99618321,9171.63793448,2136.09059702,3577.90861728,8981.05505931,3914.62976584,4876.37293752,8745.22876922,3161.51412198,9352.5202723,2087.23616879,3528.87413111,8821.41003121,3932.68159113,4826.32083165,9079.55469959,3258.71585123,9001.01450537,2178.40840579,3642.0897392,8714.19199036,4045.51273579,4774.72121207,8931.99993039,3211.29090861,9314.06974757,2125.91785171,3574.54665809,9166.91452083,4050.41268245,4846.77055295,9067.3332871
